Embedding selection: Random initialize
Freeze or fine-tune: Fine-tune
Model selection: BoWBiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.19549, Train accuracy: 0.18257, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 2.99963, Train accuracy: 0.23830, Dev accuracy: 0.32051, Early stopping: 0
Epoch: 3, loss: 2.82037, Train accuracy: 0.31004, Dev accuracy: 0.37729, Early stopping: 0
Epoch: 4, loss: 2.63467, Train accuracy: 0.36555, Dev accuracy: 0.39927, Early stopping: 0
Epoch: 5, loss: 2.45439, Train accuracy: 0.41456, Dev accuracy: 0.42674, Early stopping: 0
Epoch: 6, loss: 2.28557, Train accuracy: 0.45465, Dev accuracy: 0.46154, Early stopping: 0
Epoch: 7, loss: 2.12883, Train accuracy: 0.50001, Dev accuracy: 0.48901, Early stopping: 0
Epoch: 8, loss: 1.87695, Train accuracy: 0.56202, Dev accuracy: 0.55495, Early stopping: 0
Epoch: 9, loss: 1.48008, Train accuracy: 0.65631, Dev accuracy: 0.60440, Early stopping: 0
Epoch: 10, loss: 1.06008, Train accuracy: 0.74916, Dev accuracy: 0.64286, Early stopping: 0
Epoch: 11, loss: 0.68830, Train accuracy: 0.84252, Dev accuracy: 0.67766, Early stopping: 0
Epoch: 12, loss: 0.40783, Train accuracy: 0.91406, Dev accuracy: 0.70330, Early stopping: 0
Epoch: 13, loss: 0.24416, Train accuracy: 0.95525, Dev accuracy: 0.68681, Early stopping: 1
Epoch: 14, loss: 0.12496, Train accuracy: 0.98052, Dev accuracy: 0.71062, Early stopping: 0
Epoch: 15, loss: 0.06293, Train accuracy: 0.99310, Dev accuracy: 0.69231, Early stopping: 1
Epoch: 16, loss: 0.03878, Train accuracy: 0.99554, Dev accuracy: 0.72161, Early stopping: 0
Epoch: 17, loss: 0.02366, Train accuracy: 0.99838, Dev accuracy: 0.71978, Early stopping: 1
Epoch: 18, loss: 0.01463, Train accuracy: 0.99878, Dev accuracy: 0.72527, Early stopping: 0
Epoch: 19, loss: 0.01078, Train accuracy: 0.99858, Dev accuracy: 0.73077, Early stopping: 0
Epoch: 20, loss: 0.00835, Train accuracy: 0.99899, Dev accuracy: 0.72711, Early stopping: 1
Epoch: 21, loss: 0.00641, Train accuracy: 0.99899, Dev accuracy: 0.72894, Early stopping: 2
Epoch: 22, loss: 0.00533, Train accuracy: 0.99899, Dev accuracy: 0.73077, Early stopping: 3
Epoch: 23, loss: 0.00465, Train accuracy: 0.99899, Dev accuracy: 0.72711, Early stopping: 4
Epoch: 24, loss: 0.00407, Train accuracy: 0.99899, Dev accuracy: 0.72344, Early stopping: 5
Epoch: 25, loss: 0.00375, Train accuracy: 0.99899, Dev accuracy: 0.72711, Early stopping: 6
Epoch: 26, loss: 0.00337, Train accuracy: 0.99899, Dev accuracy: 0.71795, Early stopping: 7
Epoch: 27, loss: 0.00304, Train accuracy: 0.99899, Dev accuracy: 0.71978, Early stopping: 8
Epoch: 28, loss: 0.00281, Train accuracy: 0.99878, Dev accuracy: 0.72161, Early stopping: 9
Epoch: 29, loss: 0.00262, Train accuracy: 0.99878, Dev accuracy: 0.72711, Early stopping: 10
Epoch: 30, loss: 0.00248, Train accuracy: 0.99878, Dev accuracy: 0.72711, Early stopping: 11
Epoch: 31, loss: 0.00236, Train accuracy: 0.99878, Dev accuracy: 0.72527, Early stopping: 12
Epoch: 32, loss: 0.00227, Train accuracy: 0.99878, Dev accuracy: 0.72527, Early stopping: 13
Epoch: 33, loss: 0.00219, Train accuracy: 0.99878, Dev accuracy: 0.72344, Early stopping: 14
Epoch: 34, loss: 0.00213, Train accuracy: 0.99878, Dev accuracy: 0.72344, Early stopping: 15
Epoch: 35, loss: 0.00208, Train accuracy: 0.99878, Dev accuracy: 0.72344, Early stopping: 16
Epoch: 36, loss: 0.00203, Train accuracy: 0.99878, Dev accuracy: 0.72527, Early stopping: 17
Epoch: 37, loss: 0.00199, Train accuracy: 0.99878, Dev accuracy: 0.72894, Early stopping: 18
Epoch: 38, loss: 0.00196, Train accuracy: 0.99878, Dev accuracy: 0.72894, Early stopping: 19
Epoch: 39, loss: 0.00193, Train accuracy: 0.99878, Dev accuracy: 0.73260, Early stopping: 0
Epoch: 40, loss: 0.00191, Train accuracy: 0.99878, Dev accuracy: 0.73077, Early stopping: 1
Epoch: 41, loss: 0.00189, Train accuracy: 0.99878, Dev accuracy: 0.72711, Early stopping: 2
Epoch: 42, loss: 0.00189, Train accuracy: 0.99878, Dev accuracy: 0.72711, Early stopping: 3
Epoch: 43, loss: 0.00189, Train accuracy: 0.99878, Dev accuracy: 0.73077, Early stopping: 4
Epoch: 44, loss: 0.00187, Train accuracy: 0.99878, Dev accuracy: 0.72894, Early stopping: 5
Epoch: 45, loss: 0.00185, Train accuracy: 0.99878, Dev accuracy: 0.72894, Early stopping: 6
Epoch: 46, loss: 0.00185, Train accuracy: 0.99878, Dev accuracy: 0.72711, Early stopping: 7
Epoch: 47, loss: 0.00185, Train accuracy: 0.99878, Dev accuracy: 0.72894, Early stopping: 8
