Embedding selection: Glove
Freeze or fine-tune: Fine-tune
Model selection: BiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.28765, Train accuracy: 0.16918, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 3.01122, Train accuracy: 0.19161, Dev accuracy: 0.24359, Early stopping: 0
Epoch: 3, loss: 2.57454, Train accuracy: 0.28770, Dev accuracy: 0.30952, Early stopping: 0
Epoch: 4, loss: 2.15536, Train accuracy: 0.37560, Dev accuracy: 0.43590, Early stopping: 0
Epoch: 5, loss: 1.75400, Train accuracy: 0.51554, Dev accuracy: 0.44689, Early stopping: 0
Epoch: 6, loss: 1.50747, Train accuracy: 0.57966, Dev accuracy: 0.50549, Early stopping: 0
Epoch: 7, loss: 1.35229, Train accuracy: 0.62553, Dev accuracy: 0.57692, Early stopping: 0
Epoch: 8, loss: 1.13129, Train accuracy: 0.68045, Dev accuracy: 0.57875, Early stopping: 0
Epoch: 9, loss: 1.02157, Train accuracy: 0.70671, Dev accuracy: 0.56044, Early stopping: 1
Epoch: 10, loss: 1.01541, Train accuracy: 0.71280, Dev accuracy: 0.61538, Early stopping: 0
Epoch: 11, loss: 0.82989, Train accuracy: 0.76883, Dev accuracy: 0.64286, Early stopping: 0
Epoch: 12, loss: 0.65613, Train accuracy: 0.82079, Dev accuracy: 0.64652, Early stopping: 0
Epoch: 13, loss: 0.53418, Train accuracy: 0.85156, Dev accuracy: 0.65201, Early stopping: 0
Epoch: 14, loss: 0.47436, Train accuracy: 0.87285, Dev accuracy: 0.68315, Early stopping: 0
Epoch: 15, loss: 0.42772, Train accuracy: 0.88240, Dev accuracy: 0.68681, Early stopping: 0
Epoch: 16, loss: 0.34723, Train accuracy: 0.90735, Dev accuracy: 0.67216, Early stopping: 1
Epoch: 17, loss: 0.26302, Train accuracy: 0.93162, Dev accuracy: 0.68681, Early stopping: 2
Epoch: 18, loss: 0.20195, Train accuracy: 0.94805, Dev accuracy: 0.70513, Early stopping: 0
Epoch: 19, loss: 0.16683, Train accuracy: 0.95718, Dev accuracy: 0.70513, Early stopping: 1
Epoch: 20, loss: 0.15849, Train accuracy: 0.95901, Dev accuracy: 0.68864, Early stopping: 2
Epoch: 21, loss: 0.17372, Train accuracy: 0.95678, Dev accuracy: 0.71245, Early stopping: 0
Epoch: 22, loss: 0.14904, Train accuracy: 0.96368, Dev accuracy: 0.70513, Early stopping: 1
