Embedding selection: Glove
Freeze or fine-tune: Freeze
Model selection: BiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.29040, Train accuracy: 0.16918, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 3.20056, Train accuracy: 0.17770, Dev accuracy: 0.16667, Early stopping: 1
Epoch: 3, loss: 3.19031, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 2
Epoch: 4, loss: 2.94836, Train accuracy: 0.22135, Dev accuracy: 0.23260, Early stopping: 0
Epoch: 5, loss: 2.60888, Train accuracy: 0.33103, Dev accuracy: 0.35348, Early stopping: 0
Epoch: 6, loss: 2.24918, Train accuracy: 0.39496, Dev accuracy: 0.36630, Early stopping: 0
Epoch: 7, loss: 2.00257, Train accuracy: 0.46621, Dev accuracy: 0.49817, Early stopping: 0
Epoch: 8, loss: 1.67442, Train accuracy: 0.55297, Dev accuracy: 0.52930, Early stopping: 0
Epoch: 9, loss: 1.51431, Train accuracy: 0.59044, Dev accuracy: 0.56410, Early stopping: 0
Epoch: 10, loss: 1.35080, Train accuracy: 0.62797, Dev accuracy: 0.59890, Early stopping: 0
Epoch: 11, loss: 1.20545, Train accuracy: 0.67505, Dev accuracy: 0.61538, Early stopping: 0
Epoch: 12, loss: 1.09732, Train accuracy: 0.70001, Dev accuracy: 0.63736, Early stopping: 0
Epoch: 13, loss: 0.95531, Train accuracy: 0.74448, Dev accuracy: 0.63553, Early stopping: 1
Epoch: 14, loss: 0.85941, Train accuracy: 0.77300, Dev accuracy: 0.66667, Early stopping: 0
Epoch: 15, loss: 0.80245, Train accuracy: 0.78640, Dev accuracy: 0.67033, Early stopping: 0
Epoch: 16, loss: 0.70295, Train accuracy: 0.80173, Dev accuracy: 0.67582, Early stopping: 0
Epoch: 17, loss: 0.59279, Train accuracy: 0.83603, Dev accuracy: 0.68864, Early stopping: 0
Epoch: 18, loss: 0.52143, Train accuracy: 0.85520, Dev accuracy: 0.71062, Early stopping: 0
Epoch: 19, loss: 0.45192, Train accuracy: 0.87692, Dev accuracy: 0.70513, Early stopping: 1
Epoch: 20, loss: 0.43183, Train accuracy: 0.88422, Dev accuracy: 0.73077, Early stopping: 0
Epoch: 21, loss: 0.36997, Train accuracy: 0.90117, Dev accuracy: 0.72161, Early stopping: 1
Epoch: 22, loss: 0.31033, Train accuracy: 0.91670, Dev accuracy: 0.74725, Early stopping: 0
Epoch: 23, loss: 0.27145, Train accuracy: 0.92694, Dev accuracy: 0.74725, Early stopping: 1
Epoch: 24, loss: 0.23643, Train accuracy: 0.93699, Dev accuracy: 0.73810, Early stopping: 2
Epoch: 25, loss: 0.20569, Train accuracy: 0.94653, Dev accuracy: 0.75458, Early stopping: 0
Epoch: 26, loss: 0.17196, Train accuracy: 0.95525, Dev accuracy: 0.75824, Early stopping: 0
Epoch: 27, loss: 0.15398, Train accuracy: 0.96032, Dev accuracy: 0.76374, Early stopping: 0
Epoch: 28, loss: 0.15253, Train accuracy: 0.96083, Dev accuracy: 0.75641, Early stopping: 1
Epoch: 29, loss: 0.14063, Train accuracy: 0.96438, Dev accuracy: 0.74725, Early stopping: 2
Epoch: 30, loss: 0.11727, Train accuracy: 0.96966, Dev accuracy: 0.76190, Early stopping: 3
Epoch: 31, loss: 0.09525, Train accuracy: 0.97433, Dev accuracy: 0.77106, Early stopping: 0
Epoch: 32, loss: 0.08715, Train accuracy: 0.97554, Dev accuracy: 0.76923, Early stopping: 1
Epoch: 33, loss: 0.07575, Train accuracy: 0.98041, Dev accuracy: 0.76557, Early stopping: 2
Epoch: 34, loss: 0.08864, Train accuracy: 0.97402, Dev accuracy: 0.76007, Early stopping: 3
Epoch: 35, loss: 0.08208, Train accuracy: 0.97686, Dev accuracy: 0.77656, Early stopping: 0
Epoch: 36, loss: 0.07236, Train accuracy: 0.98071, Dev accuracy: 0.75641, Early stopping: 1
Epoch: 37, loss: 0.06287, Train accuracy: 0.98366, Dev accuracy: 0.77839, Early stopping: 0
Epoch: 38, loss: 0.05254, Train accuracy: 0.98812, Dev accuracy: 0.77289, Early stopping: 1
Epoch: 39, loss: 0.04760, Train accuracy: 0.98691, Dev accuracy: 0.77839, Early stopping: 2
Epoch: 40, loss: 0.03798, Train accuracy: 0.98894, Dev accuracy: 0.78571, Early stopping: 0
Epoch: 41, loss: 0.02977, Train accuracy: 0.99157, Dev accuracy: 0.78205, Early stopping: 1
Epoch: 42, loss: 0.02877, Train accuracy: 0.99178, Dev accuracy: 0.78022, Early stopping: 2
Epoch: 43, loss: 0.02858, Train accuracy: 0.99097, Dev accuracy: 0.77839, Early stopping: 3
Epoch: 44, loss: 0.02917, Train accuracy: 0.99076, Dev accuracy: 0.77106, Early stopping: 4
Epoch: 45, loss: 0.02620, Train accuracy: 0.99157, Dev accuracy: 0.77106, Early stopping: 5
Epoch: 46, loss: 0.02530, Train accuracy: 0.99178, Dev accuracy: 0.78022, Early stopping: 6
Epoch: 47, loss: 0.02940, Train accuracy: 0.99097, Dev accuracy: 0.77289, Early stopping: 7
Epoch: 48, loss: 0.04325, Train accuracy: 0.98772, Dev accuracy: 0.75092, Early stopping: 8
Epoch: 49, loss: 0.15985, Train accuracy: 0.95850, Dev accuracy: 0.73993, Early stopping: 9
Epoch: 50, loss: 0.13431, Train accuracy: 0.96173, Dev accuracy: 0.72527, Early stopping: 10
Epoch: 51, loss: 0.12518, Train accuracy: 0.96488, Dev accuracy: 0.76007, Early stopping: 11
Epoch: 52, loss: 0.08696, Train accuracy: 0.97757, Dev accuracy: 0.75092, Early stopping: 12
Epoch: 53, loss: 0.07736, Train accuracy: 0.97920, Dev accuracy: 0.75458, Early stopping: 13
Epoch: 54, loss: 0.05654, Train accuracy: 0.98325, Dev accuracy: 0.76740, Early stopping: 14
Epoch: 55, loss: 0.03681, Train accuracy: 0.99036, Dev accuracy: 0.76740, Early stopping: 15
Epoch: 56, loss: 0.02935, Train accuracy: 0.99157, Dev accuracy: 0.77473, Early stopping: 16
Epoch: 57, loss: 0.02838, Train accuracy: 0.99076, Dev accuracy: 0.78388, Early stopping: 17
Epoch: 58, loss: 0.02793, Train accuracy: 0.98975, Dev accuracy: 0.78022, Early stopping: 18
Epoch: 59, loss: 0.02532, Train accuracy: 0.99137, Dev accuracy: 0.78022, Early stopping: 19
Epoch: 60, loss: 0.02582, Train accuracy: 0.99117, Dev accuracy: 0.77289, Early stopping: 20
Epoch: 61, loss: 0.02473, Train accuracy: 0.99137, Dev accuracy: 0.76557, Early stopping: 21
Epoch: 62, loss: 0.16918, Train accuracy: 0.95322, Dev accuracy: 0.73626, Early stopping: 22
Epoch: 63, loss: 0.11501, Train accuracy: 0.97057, Dev accuracy: 0.76190, Early stopping: 23
Epoch: 64, loss: 0.08737, Train accuracy: 0.97493, Dev accuracy: 0.73993, Early stopping: 24
Epoch: 65, loss: 0.05578, Train accuracy: 0.98508, Dev accuracy: 0.76557, Early stopping: 25
Epoch: 66, loss: 0.04172, Train accuracy: 0.98894, Dev accuracy: 0.76923, Early stopping: 26
Epoch: 67, loss: 0.02981, Train accuracy: 0.99036, Dev accuracy: 0.76557, Early stopping: 27
Epoch: 68, loss: 0.02645, Train accuracy: 0.99157, Dev accuracy: 0.76740, Early stopping: 28
Epoch: 69, loss: 0.02307, Train accuracy: 0.99239, Dev accuracy: 0.77106, Early stopping: 29
Epoch: 70, loss: 0.02210, Train accuracy: 0.99259, Dev accuracy: 0.77289, Early stopping: 30
Epoch: 71, loss: 0.02183, Train accuracy: 0.99239, Dev accuracy: 0.77106, Early stopping: 31
Epoch: 72, loss: 0.02129, Train accuracy: 0.99239, Dev accuracy: 0.77656, Early stopping: 32
Epoch: 73, loss: 0.02097, Train accuracy: 0.99239, Dev accuracy: 0.77289, Early stopping: 33
Epoch: 74, loss: 0.02076, Train accuracy: 0.99239, Dev accuracy: 0.77656, Early stopping: 34
Epoch: 75, loss: 0.02056, Train accuracy: 0.99239, Dev accuracy: 0.77289, Early stopping: 35
Epoch: 76, loss: 0.02062, Train accuracy: 0.99239, Dev accuracy: 0.77656, Early stopping: 36
Epoch: 77, loss: 0.02044, Train accuracy: 0.99239, Dev accuracy: 0.77656, Early stopping: 37
Epoch: 78, loss: 0.02221, Train accuracy: 0.99178, Dev accuracy: 0.76190, Early stopping: 38
Epoch: 79, loss: 0.02600, Train accuracy: 0.99015, Dev accuracy: 0.76923, Early stopping: 39
Epoch: 80, loss: 0.02712, Train accuracy: 0.99056, Dev accuracy: 0.77473, Early stopping: 40
Early stop training...
-------------------End training-------------------
