Embedding selection: Random initialize
Freeze or fine-tune: Fine-tune
Model selection: BiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.24569, Train accuracy: 0.17283, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 3.20715, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 1
Epoch: 3, loss: 3.20281, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 2
Epoch: 4, loss: 3.19985, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 3
Epoch: 5, loss: 3.19804, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 4
Epoch: 6, loss: 3.19534, Train accuracy: 0.17790, Dev accuracy: 0.16667, Early stopping: 5
Epoch: 7, loss: 3.11853, Train accuracy: 0.18472, Dev accuracy: 0.23626, Early stopping: 0
Epoch: 8, loss: 2.73189, Train accuracy: 0.29066, Dev accuracy: 0.35531, Early stopping: 0
Epoch: 9, loss: 2.11385, Train accuracy: 0.43762, Dev accuracy: 0.48352, Early stopping: 0
Epoch: 10, loss: 1.50357, Train accuracy: 0.62291, Dev accuracy: 0.60989, Early stopping: 0
Epoch: 11, loss: 1.01942, Train accuracy: 0.74337, Dev accuracy: 0.64469, Early stopping: 0
Epoch: 12, loss: 0.71201, Train accuracy: 0.82252, Dev accuracy: 0.67033, Early stopping: 0
Epoch: 13, loss: 0.46328, Train accuracy: 0.89407, Dev accuracy: 0.69414, Early stopping: 0
Epoch: 14, loss: 0.26434, Train accuracy: 0.94623, Dev accuracy: 0.71612, Early stopping: 0
Epoch: 15, loss: 0.13771, Train accuracy: 0.97748, Dev accuracy: 0.73626, Early stopping: 0
Epoch: 16, loss: 0.07202, Train accuracy: 0.99087, Dev accuracy: 0.73077, Early stopping: 1
Epoch: 17, loss: 0.03990, Train accuracy: 0.99696, Dev accuracy: 0.73443, Early stopping: 2
Epoch: 18, loss: 0.02537, Train accuracy: 0.99797, Dev accuracy: 0.74359, Early stopping: 0
Epoch: 19, loss: 0.01660, Train accuracy: 0.99878, Dev accuracy: 0.73443, Early stopping: 1
Epoch: 20, loss: 0.01160, Train accuracy: 0.99899, Dev accuracy: 0.73993, Early stopping: 2
Epoch: 21, loss: 0.00865, Train accuracy: 0.99858, Dev accuracy: 0.74176, Early stopping: 3
Epoch: 22, loss: 0.00688, Train accuracy: 0.99878, Dev accuracy: 0.73810, Early stopping: 4
Epoch: 23, loss: 0.00567, Train accuracy: 0.99878, Dev accuracy: 0.73626, Early stopping: 5
