Embedding selection: Glove
Freeze or fine-tune: Freeze
Model selection: BoW
-------------------Start training-------------------
Epoch: 1, loss: 3.28648, Train accuracy: 0.32628, Dev accuracy: 0.36081, Early stopping: 0
Epoch: 2, loss: 2.63178, Train accuracy: 0.38453, Dev accuracy: 0.40659, Early stopping: 0
Epoch: 3, loss: 2.29145, Train accuracy: 0.47423, Dev accuracy: 0.46520, Early stopping: 0
Epoch: 4, loss: 2.05040, Train accuracy: 0.53399, Dev accuracy: 0.49267, Early stopping: 0
Epoch: 5, loss: 1.86778, Train accuracy: 0.56606, Dev accuracy: 0.51099, Early stopping: 0
Epoch: 6, loss: 1.72396, Train accuracy: 0.59529, Dev accuracy: 0.52381, Early stopping: 0
Epoch: 7, loss: 1.60746, Train accuracy: 0.61518, Dev accuracy: 0.54762, Early stopping: 0
Epoch: 8, loss: 1.51100, Train accuracy: 0.63202, Dev accuracy: 0.56410, Early stopping: 0
Epoch: 9, loss: 1.42972, Train accuracy: 0.65100, Dev accuracy: 0.57692, Early stopping: 0
Epoch: 10, loss: 1.36024, Train accuracy: 0.66237, Dev accuracy: 0.58608, Early stopping: 0
Epoch: 11, loss: 1.30008, Train accuracy: 0.67526, Dev accuracy: 0.59341, Early stopping: 0
Epoch: 12, loss: 1.24741, Train accuracy: 0.68784, Dev accuracy: 0.60440, Early stopping: 0
Epoch: 13, loss: 1.20082, Train accuracy: 0.69809, Dev accuracy: 0.61722, Early stopping: 0
Epoch: 14, loss: 1.15921, Train accuracy: 0.70388, Dev accuracy: 0.61905, Early stopping: 0
Epoch: 15, loss: 1.12175, Train accuracy: 0.71098, Dev accuracy: 0.62271, Early stopping: 0
Epoch: 16, loss: 1.08778, Train accuracy: 0.71961, Dev accuracy: 0.63553, Early stopping: 0
Epoch: 17, loss: 1.05678, Train accuracy: 0.72652, Dev accuracy: 0.63553, Early stopping: 1
Epoch: 18, loss: 1.02832, Train accuracy: 0.73210, Dev accuracy: 0.64286, Early stopping: 0
Epoch: 19, loss: 1.00207, Train accuracy: 0.74083, Dev accuracy: 0.64835, Early stopping: 0
Epoch: 20, loss: 0.97774, Train accuracy: 0.74753, Dev accuracy: 0.65201, Early stopping: 0
Epoch: 21, loss: 0.95511, Train accuracy: 0.75443, Dev accuracy: 0.65385, Early stopping: 0
Epoch: 22, loss: 0.93397, Train accuracy: 0.76051, Dev accuracy: 0.65385, Early stopping: 1
Epoch: 23, loss: 0.91418, Train accuracy: 0.76477, Dev accuracy: 0.65751, Early stopping: 0
Epoch: 24, loss: 0.89559, Train accuracy: 0.76964, Dev accuracy: 0.66117, Early stopping: 0
Epoch: 25, loss: 0.87807, Train accuracy: 0.77279, Dev accuracy: 0.66484, Early stopping: 0
Epoch: 26, loss: 0.86153, Train accuracy: 0.77676, Dev accuracy: 0.66667, Early stopping: 0
Epoch: 27, loss: 0.84587, Train accuracy: 0.78163, Dev accuracy: 0.67399, Early stopping: 0
Epoch: 28, loss: 0.83103, Train accuracy: 0.78629, Dev accuracy: 0.67399, Early stopping: 1
Epoch: 29, loss: 0.81691, Train accuracy: 0.79076, Dev accuracy: 0.67399, Early stopping: 2
Epoch: 30, loss: 0.80347, Train accuracy: 0.79380, Dev accuracy: 0.67399, Early stopping: 3
Epoch: 31, loss: 0.79065, Train accuracy: 0.79705, Dev accuracy: 0.67399, Early stopping: 4
Epoch: 32, loss: 0.77840, Train accuracy: 0.80009, Dev accuracy: 0.67582, Early stopping: 0
Epoch: 33, loss: 0.76668, Train accuracy: 0.80395, Dev accuracy: 0.67399, Early stopping: 1
Epoch: 34, loss: 0.75544, Train accuracy: 0.80699, Dev accuracy: 0.67949, Early stopping: 0
Epoch: 35, loss: 0.74466, Train accuracy: 0.81186, Dev accuracy: 0.68132, Early stopping: 0
Epoch: 36, loss: 0.73430, Train accuracy: 0.81328, Dev accuracy: 0.68132, Early stopping: 1
Epoch: 37, loss: 0.72433, Train accuracy: 0.81511, Dev accuracy: 0.68315, Early stopping: 0
Epoch: 38, loss: 0.71472, Train accuracy: 0.81673, Dev accuracy: 0.68315, Early stopping: 1
Epoch: 39, loss: 0.70547, Train accuracy: 0.81917, Dev accuracy: 0.68498, Early stopping: 0
Epoch: 40, loss: 0.69653, Train accuracy: 0.82140, Dev accuracy: 0.68315, Early stopping: 1
Epoch: 41, loss: 0.68790, Train accuracy: 0.82241, Dev accuracy: 0.68315, Early stopping: 2
Epoch: 42, loss: 0.67955, Train accuracy: 0.82566, Dev accuracy: 0.68498, Early stopping: 3
Epoch: 43, loss: 0.67147, Train accuracy: 0.82810, Dev accuracy: 0.68681, Early stopping: 0
Epoch: 44, loss: 0.66365, Train accuracy: 0.82952, Dev accuracy: 0.68681, Early stopping: 1
Epoch: 45, loss: 0.65606, Train accuracy: 0.83287, Dev accuracy: 0.68681, Early stopping: 2
Epoch: 46, loss: 0.64871, Train accuracy: 0.83429, Dev accuracy: 0.68315, Early stopping: 3
Epoch: 47, loss: 0.64157, Train accuracy: 0.83551, Dev accuracy: 0.68681, Early stopping: 4
Epoch: 48, loss: 0.63464, Train accuracy: 0.83673, Dev accuracy: 0.68864, Early stopping: 0
Epoch: 49, loss: 0.62791, Train accuracy: 0.83855, Dev accuracy: 0.68681, Early stopping: 1
Epoch: 50, loss: 0.62136, Train accuracy: 0.83957, Dev accuracy: 0.68681, Early stopping: 2
Epoch: 51, loss: 0.61499, Train accuracy: 0.84281, Dev accuracy: 0.68681, Early stopping: 3
Epoch: 52, loss: 0.60879, Train accuracy: 0.84362, Dev accuracy: 0.68681, Early stopping: 4
Epoch: 53, loss: 0.60275, Train accuracy: 0.84504, Dev accuracy: 0.68864, Early stopping: 5
Epoch: 54, loss: 0.59687, Train accuracy: 0.84586, Dev accuracy: 0.69048, Early stopping: 0
Epoch: 55, loss: 0.59114, Train accuracy: 0.84728, Dev accuracy: 0.69048, Early stopping: 1
Epoch: 56, loss: 0.58554, Train accuracy: 0.84910, Dev accuracy: 0.69231, Early stopping: 0
Epoch: 57, loss: 0.58009, Train accuracy: 0.85093, Dev accuracy: 0.69414, Early stopping: 0
Epoch: 58, loss: 0.57477, Train accuracy: 0.85357, Dev accuracy: 0.69414, Early stopping: 1
Epoch: 59, loss: 0.56957, Train accuracy: 0.85519, Dev accuracy: 0.69597, Early stopping: 0
Epoch: 60, loss: 0.56449, Train accuracy: 0.85763, Dev accuracy: 0.69597, Early stopping: 1
Epoch: 61, loss: 0.55953, Train accuracy: 0.85864, Dev accuracy: 0.69597, Early stopping: 2
