Embedding selection: Glove
Freeze or fine-tune: Fine-tune
Model selection: BoWBiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.22898, Train accuracy: 0.17334, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 2.96517, Train accuracy: 0.19893, Dev accuracy: 0.25824, Early stopping: 0
Epoch: 3, loss: 2.66954, Train accuracy: 0.33339, Dev accuracy: 0.39011, Early stopping: 0
Epoch: 4, loss: 2.31185, Train accuracy: 0.45272, Dev accuracy: 0.47436, Early stopping: 0
Epoch: 5, loss: 1.96685, Train accuracy: 0.55714, Dev accuracy: 0.52747, Early stopping: 0
Epoch: 6, loss: 1.66190, Train accuracy: 0.63953, Dev accuracy: 0.56410, Early stopping: 0
Epoch: 7, loss: 1.42439, Train accuracy: 0.69870, Dev accuracy: 0.60440, Early stopping: 0
Epoch: 8, loss: 1.19523, Train accuracy: 0.75615, Dev accuracy: 0.63553, Early stopping: 0
Epoch: 9, loss: 0.98981, Train accuracy: 0.78973, Dev accuracy: 0.64469, Early stopping: 0
Epoch: 10, loss: 0.78768, Train accuracy: 0.83247, Dev accuracy: 0.66300, Early stopping: 0
Epoch: 11, loss: 0.60480, Train accuracy: 0.87691, Dev accuracy: 0.68681, Early stopping: 0
Epoch: 12, loss: 0.45725, Train accuracy: 0.90858, Dev accuracy: 0.71612, Early stopping: 0
Epoch: 13, loss: 0.34549, Train accuracy: 0.93212, Dev accuracy: 0.70879, Early stopping: 1
Epoch: 14, loss: 0.31351, Train accuracy: 0.94186, Dev accuracy: 0.72711, Early stopping: 0
Epoch: 15, loss: 0.24499, Train accuracy: 0.95748, Dev accuracy: 0.71429, Early stopping: 1
Epoch: 16, loss: 0.16905, Train accuracy: 0.97626, Dev accuracy: 0.71612, Early stopping: 2
Epoch: 17, loss: 0.12666, Train accuracy: 0.98275, Dev accuracy: 0.72344, Early stopping: 3
Epoch: 18, loss: 0.10651, Train accuracy: 0.98661, Dev accuracy: 0.72527, Early stopping: 4
Epoch: 19, loss: 0.08885, Train accuracy: 0.98864, Dev accuracy: 0.72161, Early stopping: 5
Epoch: 20, loss: 0.06687, Train accuracy: 0.99127, Dev accuracy: 0.74176, Early stopping: 0
Epoch: 21, loss: 0.05825, Train accuracy: 0.99290, Dev accuracy: 0.72527, Early stopping: 1
Epoch: 22, loss: 0.05074, Train accuracy: 0.99391, Dev accuracy: 0.73443, Early stopping: 2
Epoch: 23, loss: 0.04182, Train accuracy: 0.99412, Dev accuracy: 0.74725, Early stopping: 0
Epoch: 24, loss: 0.03590, Train accuracy: 0.99513, Dev accuracy: 0.73260, Early stopping: 1
Epoch: 25, loss: 0.03132, Train accuracy: 0.99493, Dev accuracy: 0.73077, Early stopping: 2
Epoch: 26, loss: 0.03055, Train accuracy: 0.99574, Dev accuracy: 0.73260, Early stopping: 3
Epoch: 27, loss: 0.02453, Train accuracy: 0.99635, Dev accuracy: 0.73443, Early stopping: 4
Epoch: 28, loss: 0.01831, Train accuracy: 0.99716, Dev accuracy: 0.72894, Early stopping: 5
Epoch: 29, loss: 0.01486, Train accuracy: 0.99777, Dev accuracy: 0.72527, Early stopping: 6
Epoch: 30, loss: 0.01221, Train accuracy: 0.99817, Dev accuracy: 0.73260, Early stopping: 7
Epoch: 31, loss: 0.01155, Train accuracy: 0.99838, Dev accuracy: 0.72344, Early stopping: 8
