Embedding selection: Glove
Freeze or fine-tune: Freeze
Model selection: BoWBiLSTM
-------------------Start training-------------------
Epoch: 1, loss: 3.23844, Train accuracy: 0.17355, Dev accuracy: 0.16667, Early stopping: 0
Epoch: 2, loss: 3.04390, Train accuracy: 0.17821, Dev accuracy: 0.16850, Early stopping: 0
Epoch: 3, loss: 2.93803, Train accuracy: 0.18633, Dev accuracy: 0.19780, Early stopping: 0
Epoch: 4, loss: 2.83986, Train accuracy: 0.21861, Dev accuracy: 0.27473, Early stopping: 0
Epoch: 5, loss: 2.74842, Train accuracy: 0.25738, Dev accuracy: 0.29304, Early stopping: 0
Epoch: 6, loss: 2.66291, Train accuracy: 0.29726, Dev accuracy: 0.31502, Early stopping: 0
Epoch: 7, loss: 2.55935, Train accuracy: 0.33816, Dev accuracy: 0.36630, Early stopping: 0
Epoch: 8, loss: 2.28511, Train accuracy: 0.42929, Dev accuracy: 0.47436, Early stopping: 0
Epoch: 9, loss: 1.98842, Train accuracy: 0.50792, Dev accuracy: 0.50183, Early stopping: 0
Epoch: 10, loss: 1.77578, Train accuracy: 0.56212, Dev accuracy: 0.52747, Early stopping: 0
Epoch: 11, loss: 1.65160, Train accuracy: 0.58870, Dev accuracy: 0.54579, Early stopping: 0
Epoch: 12, loss: 1.49856, Train accuracy: 0.62867, Dev accuracy: 0.57326, Early stopping: 0
Epoch: 13, loss: 1.30666, Train accuracy: 0.65943, Dev accuracy: 0.59707, Early stopping: 0
Epoch: 14, loss: 1.21912, Train accuracy: 0.67984, Dev accuracy: 0.62271, Early stopping: 0
Epoch: 15, loss: 1.02275, Train accuracy: 0.72570, Dev accuracy: 0.65751, Early stopping: 0
Epoch: 16, loss: 0.89047, Train accuracy: 0.76741, Dev accuracy: 0.67582, Early stopping: 0
Epoch: 17, loss: 0.76507, Train accuracy: 0.80069, Dev accuracy: 0.69231, Early stopping: 0
Epoch: 18, loss: 0.68302, Train accuracy: 0.81715, Dev accuracy: 0.68498, Early stopping: 1
Epoch: 19, loss: 0.58870, Train accuracy: 0.84181, Dev accuracy: 0.70696, Early stopping: 0
Epoch: 20, loss: 0.52636, Train accuracy: 0.86261, Dev accuracy: 0.70513, Early stopping: 1
Epoch: 21, loss: 0.46090, Train accuracy: 0.88057, Dev accuracy: 0.71795, Early stopping: 0
Epoch: 22, loss: 0.43983, Train accuracy: 0.88178, Dev accuracy: 0.71429, Early stopping: 1
Epoch: 23, loss: 0.37725, Train accuracy: 0.90582, Dev accuracy: 0.72161, Early stopping: 0
Epoch: 24, loss: 0.33198, Train accuracy: 0.91679, Dev accuracy: 0.72711, Early stopping: 0
Epoch: 25, loss: 0.27638, Train accuracy: 0.93131, Dev accuracy: 0.73260, Early stopping: 0
Epoch: 26, loss: 0.22539, Train accuracy: 0.94622, Dev accuracy: 0.72527, Early stopping: 1
Epoch: 27, loss: 0.20238, Train accuracy: 0.95149, Dev accuracy: 0.72894, Early stopping: 2
Epoch: 28, loss: 0.16922, Train accuracy: 0.96032, Dev accuracy: 0.73626, Early stopping: 0
Epoch: 29, loss: 0.15246, Train accuracy: 0.96215, Dev accuracy: 0.71978, Early stopping: 1
Epoch: 30, loss: 0.13846, Train accuracy: 0.96946, Dev accuracy: 0.72161, Early stopping: 2
Epoch: 31, loss: 0.14237, Train accuracy: 0.96499, Dev accuracy: 0.71795, Early stopping: 3
Epoch: 32, loss: 0.11513, Train accuracy: 0.97351, Dev accuracy: 0.72894, Early stopping: 4
Epoch: 33, loss: 0.10666, Train accuracy: 0.97392, Dev accuracy: 0.73260, Early stopping: 5
Epoch: 34, loss: 0.09720, Train accuracy: 0.97493, Dev accuracy: 0.75092, Early stopping: 0
Epoch: 35, loss: 0.08387, Train accuracy: 0.97828, Dev accuracy: 0.75275, Early stopping: 0
Epoch: 36, loss: 0.08127, Train accuracy: 0.97879, Dev accuracy: 0.76190, Early stopping: 0
Epoch: 37, loss: 0.07252, Train accuracy: 0.98265, Dev accuracy: 0.75092, Early stopping: 1
Epoch: 38, loss: 0.06705, Train accuracy: 0.98285, Dev accuracy: 0.75275, Early stopping: 2
Epoch: 39, loss: 0.06930, Train accuracy: 0.98183, Dev accuracy: 0.73993, Early stopping: 3
Epoch: 40, loss: 0.06865, Train accuracy: 0.98021, Dev accuracy: 0.74908, Early stopping: 4
Epoch: 41, loss: 0.06740, Train accuracy: 0.98041, Dev accuracy: 0.73626, Early stopping: 5
Epoch: 42, loss: 0.06861, Train accuracy: 0.98163, Dev accuracy: 0.74908, Early stopping: 6
Epoch: 43, loss: 0.06966, Train accuracy: 0.98204, Dev accuracy: 0.73810, Early stopping: 7
Epoch: 44, loss: 0.05486, Train accuracy: 0.98549, Dev accuracy: 0.74908, Early stopping: 8
Epoch: 45, loss: 0.04585, Train accuracy: 0.98833, Dev accuracy: 0.76007, Early stopping: 9
Epoch: 46, loss: 0.03931, Train accuracy: 0.98873, Dev accuracy: 0.75824, Early stopping: 10
Epoch: 47, loss: 0.03167, Train accuracy: 0.99056, Dev accuracy: 0.76007, Early stopping: 11
Epoch: 48, loss: 0.03161, Train accuracy: 0.98995, Dev accuracy: 0.75092, Early stopping: 12
Epoch: 49, loss: 0.02867, Train accuracy: 0.99056, Dev accuracy: 0.74908, Early stopping: 13
Epoch: 50, loss: 0.02656, Train accuracy: 0.99117, Dev accuracy: 0.74359, Early stopping: 14
Epoch: 51, loss: 0.02569, Train accuracy: 0.99117, Dev accuracy: 0.74176, Early stopping: 15
Epoch: 52, loss: 0.02628, Train accuracy: 0.99097, Dev accuracy: 0.74359, Early stopping: 16
Epoch: 53, loss: 0.02623, Train accuracy: 0.99097, Dev accuracy: 0.74725, Early stopping: 17
Epoch: 54, loss: 0.02439, Train accuracy: 0.99157, Dev accuracy: 0.74542, Early stopping: 18
Epoch: 55, loss: 0.02511, Train accuracy: 0.99117, Dev accuracy: 0.73993, Early stopping: 19
Epoch: 56, loss: 0.02362, Train accuracy: 0.99178, Dev accuracy: 0.74725, Early stopping: 20
Epoch: 57, loss: 0.02514, Train accuracy: 0.99157, Dev accuracy: 0.74542, Early stopping: 21
Epoch: 58, loss: 0.02794, Train accuracy: 0.99076, Dev accuracy: 0.73810, Early stopping: 22
Epoch: 59, loss: 0.03539, Train accuracy: 0.98873, Dev accuracy: 0.74542, Early stopping: 23
Epoch: 60, loss: 0.09109, Train accuracy: 0.97189, Dev accuracy: 0.73260, Early stopping: 24
Epoch: 61, loss: 0.12346, Train accuracy: 0.96580, Dev accuracy: 0.76007, Early stopping: 25
Epoch: 62, loss: 0.07078, Train accuracy: 0.97960, Dev accuracy: 0.76190, Early stopping: 26
Epoch: 63, loss: 0.05930, Train accuracy: 0.98325, Dev accuracy: 0.75824, Early stopping: 27
Epoch: 64, loss: 0.04501, Train accuracy: 0.98731, Dev accuracy: 0.75092, Early stopping: 28
